ISBN13,Author
9.78039E+12,Mary Lawson
9.7804E+12,Willa Cather
9.78045E+12,Olivia Goldsmith
9.78033E+12,Helen Fielding
9.78049E+12,"Jane Austen,Dover Thrift Editions"
9.78067E+12,Franklin W. Dixon
9.78067E+12,Franklin W. Dixon
9.78067E+12,Franklin W. Dixon
9.7804E+12,Lilian Jackson Braun
9.78079E+12,"Holly Virden,Michelle McKinney Hammond"
9.78083E+12,H. Norman Wright
9.78035E+12,Piers Anthony
9.78055E+12,Ray Bradbury
9.78315E+12,"Friedrich Schiller,Walter Schafarschik"
9.78326E+12,"Ray Bradbury,Peter Naujack"
9.78326E+12,"Raymond Chandler,Hans Wollschläger"
9.78326E+12,Ray Bradbury
9.78326E+12,"Ray Bradbury,Thomas Schlück"
9.78326E+12,"Ray Bradbury,Norbert Wölfl"
9.78326E+12,"Ray Bradbury,Alexander Schmitz"
9.78326E+12,Ray Bradbury
9.78326E+12,Ray Bradbury
9.78326E+12,"Ray Bradbury,Jürgen Bauer,Alastair Ker"
9.78326E+12,Ray Bradbury
9.78326E+12,"Paulo Coelho,Maralde Meyer-Minnemann"
9.78342E+12,Gabriel García Márquez
9.78342E+12,Fay Weldon
9.78342E+12,Arabella Weir
9.78343E+12,"Kiana Davenport,Margarete Längsfeld"
9.78345E+12,Sue Townsend
9.78346E+12,Renan Demirkan
9.78349E+12,"Michael Moore,Helmut Dierlamm,Heike Schlatterer"
9.7835E+12,"Jonathan Franzen,Bettina Abarbanell"
9.7835E+12,"J. D. Salinger,Annemarie Böll,Heinrich Böll,Elisab"
9.7835E+12,"J. D. Salinger,Annemarie Böll,Heinrich Böll"
9.78352E+12,"James Joyce,Hans Wollschläger"
9.78355E+12,Joanna Trollope
9.78357E+12,"Sue Townsend,Antoinette Gittinger"
9.7836E+12,Milan Kundera
9.78006E+12,Arundhati Roy
9.78031E+12,Robert S. Levinson
9.78032E+12,James Patterson
9.78032E+12,James Patterson
9.78035E+12,Richard North Patterson
9.78035E+12,Michael Crichton
9.78035E+12,Richard North Patterson
9.78035E+12,Lorna Landvik
9.78038E+12,Arthur Golden
9.78038E+12,Kent Haruf
9.78038E+12,Patricia D Cornwell
9.78038E+12,Patricia D. Cornwell
9.78038E+12,"Carol J. Farley,Tom Newsom"
9.78038E+12,Kathleen E. Woodiwiss
9.78038E+12,Kathleen E. Woodiwiss
9.78039E+12,Belva Plain
9.78039E+12,John Grisham
9.78039E+12,John Grisham
9.78039E+12,Mark Haddon
9.78039E+12,John Grisham
9.78039E+12,Ann Brashares
9.78043E+12,Erich Segal
9.78044E+12,Elizabeth Adler
9.78045E+12,James Patterson
9.78045E+12,Nicholas Sparks
9.78045E+12,John Saul
9.78045E+12,Lorna Landvik
9.78045E+12,Stephen King
9.78045E+12,Steve Thayer
9.78045E+12,Tracy Chevalier
9.78052E+12,Judith Kelman
9.78055E+12,Michael Palmer
9.78059E+12,Francine Hughes
9.78059E+12,Norman Bridwell
9.78067E+12,Patricia Cornwell
9.78067E+12,Dan Brown
9.78068E+12,Frank McCourt
9.78074E+12,Dan Brown
9.78079E+12,Malachy Mccourt
9.7808E+12,Mari Sandoz
9.7808E+12,Anne Perry
9.7814E+12,Alexander Mccall Smith
9.78156E+12,"Jack Canfield,Mark Victor Hansen,Barbara Bergman"
9.78006E+12,Gregory Maguire
9.78015E+12,Yann Martel
9.78038E+12,Ruth Rendell
9.78053E+12,Al Franken
9.7808E+12,Donna Tartt
9.78156E+12,"Jack Canfield,Mark Victor Hansen,Jennifer Read Haw"
9.78044E+12,John Milne
9.78032E+12,Anita Shreve
9.78006E+12,Terry Pratchett
9.78006E+12,Terry Pratchett
9.78006E+12,Terry Pratchett
9.78006E+12,"E. B. White,Garth Williams"
9.78006E+12,J. M. Barrie
9.78006E+12,Mary O'Hara
9.78006E+12,"Terry Pratchett,Paul Kidby"
9.78006E+12,Terry Pratchett
9.78006E+12,Terry Pratchett
9.78006E+12,Terry Pratchett
9.78006E+12,Louise Rennison
9.78014E+12,JANE AUSTEN
9.78031E+12,Kenneth Grahame
9.78031E+12,Bernard Cornwell
9.78031E+12,Charles De Lint
9.78035E+12,"Lord Dunsany,Neil Gaiman"
9.78037E+12,Georgette Heyer
9.78038E+12,"Oscar Wilde,Jeffrey Eugenides"
9.78038E+12,"Ted Hughes,Andrew Davidson"
9.78038E+12,"Roald Dahl,Quentin Blake"
9.78038E+12,Philip Pullman
9.78038E+12,Philip Pullman
9.78038E+12,Philip Pullman
9.78038E+12,Sue Townsend
9.78038E+12,Ray Bradbury
9.78039E+12,Donna Jo Napoli
9.78039E+12,A.S. Byatt
9.78044E+12,Tanuja Desai Hidier
9.78044E+12,Sophie Kinsella
9.78045E+12,Isabel Wolff
9.78045E+12,Louisa May Alcott
9.78045E+12,"Jane Austen,Margaret Drabble"
9.78045E+12,George Orwell
9.78049E+12,Charles Dickens
9.78055E+12,Isabel Allende
9.78057E+12,Barbara Kingsolver
9.78067E+12,"Ellen Datlow,Terri Windling,Charles Vess,Neil Gaim"
9.78068E+12,Charles Dickens
9.78068E+12,A.S. Byatt
9.78068E+12,Joseph Heller
9.78074E+12,John Galsworthy
9.78075E+12,Enid Blyton
9.78075E+12,Enid Blyton
9.78096E+12,Neil Gaiman
9.7814E+12,"Alan Moore,Kevin O'Neill,Ben Dimagmaliw"
9.78156E+12,"Neil Gaiman,Sam Kieth,Mike Dringenberg,Malcolm Jon"
9.78156E+12,Alan Moore
9.78157E+12,"Neil Gaiman,John Bolton"
9.78159E+12,Trudy Suggs
9.78037E+12,Tom Wolfe
9.78038E+12,Brady Udall
9.78044E+12,Homer Hickam
9.78044E+12,John Grisham
9.78157E+12,Pearl Abraham
9.78185E+12,Thomas Hardy
9.78006E+12,Sebastian Junger
9.78035E+12,Karen Armstrong
9.78052E+12,"Mary Barnard,Dudley Fitts"
9.78055E+12,David Brin
9.78067E+12,"T. C. Boyle,T. Coraghessan Boyle"
9.78087E+12,"Plato,Alexander Nehamas,Paul Woodruff"
9.78094E+12,"Lynda Madaras,Dane Saavedra,Jackie Aher"
9.78067E+12,Stephen Mccauley
9.78059E+12,Isabelle Holland
9.78006E+12,Pam Conrad
9.78055E+12,Lurlene Mcdaniel
9.78097E+12,Brian Kaufman
9.78031E+12,John Darnton
9.78035E+12,Martin Schenk
9.78035E+12,"David Eddings,Leigh Eddings"
9.78038E+12,Paul Reiser
9.78038E+12,"David G. Hartwell,Kathryn Cramer"
9.78045E+12,Dave Barry
9.78055E+12,John R. Holt
9.78067E+12,Theodore Beale
9.78081E+12,Frank M. Robinson
9.78031E+12,Mary Jane Clark
9.78049E+12,"Mary Shelley,Dover Thrift Editions"
9.78067E+12,Robert Westall
9.78039E+12,Robert B. Parker
9.78158E+12,Rita Chapman Works
9.78068E+12,Patricia Cornwell
9.78035E+12,"Douglas Adams,Mark Carwardine"
9.78038E+12,A. Manette Ansay
9.78157E+12,Sarah Waters
9.78968E+12,Anne Frank
9.78038E+12,Barry Lopez
9.78045E+12,Greg Palast
9.78043E+12,Tom Clancy
9.78067E+12,Andrea Kane
9.78038E+12,Nevada Barr
9.78045E+12,Margaret Maron
9.78077E+12,"Edna Barker,Shelagh Rogers"
9.78077E+12,Muriel Whitaker
9.78156E+12,John Irving
9.7836E+12,"William Golding,Hermann Stiehl"
9.78006E+12,HarperReference
9.78067E+12,LTD
9.78006E+12,Ann Patchett
9.78014E+12,"Roald Dahl,Lane Smith"
9.78014E+12,"Sue Monk; Sue Monk Kidd Kidd,Roseanne J. Serra (Co"
9.7802E+12,"Bob Thiele,Bob Golden,Steve Allen"
9.78031E+12,Dan Brown
9.78038E+12,Colleen Mccullough
9.78038E+12,Joanne Harris
9.78039E+12,John Grisham
9.78039E+12,Thomas Cahill
9.78039E+12,John Grisham
9.78043E+12,Michael Hudson
9.78045E+12,Jane Smiley
9.78045E+12,Dick Francis
9.78045E+12,Dick Francis
9.78052E+12,Nora Roberts
9.78052E+12,Douglas Adams
9.78059E+12,"Jean Marzollo,Walter Wick,Carol Devine Carson"
9.78059E+12,"Jean Marzollo,Walter Wick"
9.78067E+12,Barbara Delinsky
9.78068E+12,P. D. James
9.78068E+12,Arthur W. Upfield
9.78074E+12,Barbara Delinsky
9.78074E+12,Christopher Rice
9.78076E+12,Rex Stout
9.78077E+12,Joan Anderson
9.7808E+12,Vance Havner
9.7808E+12,Warren W. Wiersbe
9.78085E+12,Max Lucado
9.78089E+12,Larry Crabb
9.78092E+12,Barry Neil Kaufman
9.78093E+12,Bob Sjogren
9.78158E+12,Frederick J. Moody
9.78188E+12,Neal Pirolo
9.78014E+12,William Sleator
9.78016E+12,Antoine De Saint-Exupery
9.78038E+12,Richard Bach
9.78045E+12,Kevin Sullivan
9.78079E+12,Michele Morgan
9.78088E+12,Scott Cunningham
9.78157E+12,David Allen Hulse
9.78157E+12,Richard Webster
9.78186E+12,Bernard King
9.78002E+12,"Pat Hutchins,Pat Hutchins"
9.7802E+12,"William Shakespeare,Roma Gill"
9.78037E+12,Melissa McClone
9.78037E+12,Cheryl St. John
9.78045E+12,"Lewis Carroll,Martin Gardner"
9.78067E+12,Mary Higgins Clark
9.78081E+12,Mark Twain
9.78006E+12,Rebecca Wells
9.78006E+12,"Mary Crow Dog,Richard Erdoes"
9.78006E+12,Sebastian Junger
9.78014E+12,Linda Gordon
9.78031E+12,Florence King
9.78032E+12,Alice Sebold
9.78039E+12,Spalding Gray
9.78044E+12,Thomas Harris
9.78045E+12,Edward Rutherfurd
9.78045E+12,Margaret Atwood
9.78045E+12,Dorothy Allison
9.78055E+12,Margaret Atwood
9.78068E+12,Maya Angelou
9.78068E+12,Edith Wharton
9.7808E+12,Mary Brave Bird
9.7808E+12,"John G. Neihardt,Vine Deloria Jr."
9.78082E+12,Roland Warren
9.7809E+12,Johnny Molloy
9.78094E+12,"James McCourt,Wayne Koestenbaum"
9.78157E+12,Elizabeth Wurtzel
9.78158E+12,Bill Bradley
9.78188E+12,Don Miguel Ruiz
9.7806E+12,Paul Lester
9.78185E+12,Leo Tolstoy
9.78186E+12,Simon Nye
9.78006E+12,Robert A Johnson
9.78014E+12,Marc Gascoigne
9.78015E+12,Stephanie Maze
9.78031E+12,Sandra Dallas
9.78035E+12,Piers Anthony
9.78035E+12,Piers Anthony
9.78035E+12,Anne McCaffrey
9.78035E+12,David Gemmell
9.78039E+12,Laura Zigman
9.78044E+12,John Grisham
9.78045E+12,Margaret Truman
9.78055E+12,Mark C. Young
9.78059E+12,"Paula Danziger,Tony Ross"
9.78074E+12,"Richard A. Lupoff,Bruce Coville"
9.78079E+12,Carrie A. Bebris
9.7808E+12,Ellen Carol Dubois
9.78082E+12,Candice F. Ransom
9.78084E+12,"Sam Bobrick,Julie Stein,Price Stern Sloan"
9.78087E+12,"Anna, And Vogel, Malvina (Editor) Sewell"
9.78087E+12,"Charles Dickens,Marian Leighton"
9.78087E+12,"Donna K. Grosvenor,James L. Stanfield"
9.78156E+12,"Mary Wollstonecraft Shelley,D. J. Arneson,Eva Clif"
9.78055E+12,Nathaniel Hawthorne
9.78055E+12,Anne McCaffrey
9.78069E+12,Robert Westall
9.78157E+12,Valerie Block
9.78055E+12,Luanne Rice
9.78032E+12,Alice Sebold
9.78014E+12,T. Coraghessan Boyle
9.78032E+12,Ellen Gilchrist
9.78035E+12,John Irving
9.78038E+12,Tim Gautreaux
9.78038E+12,Richard Russo
9.78039E+12,Margaret Atwood
9.78043E+12,Jostein Gaarder
9.78044E+12,Anna Quindlen
9.78045E+12,Diane Johnson
9.78055E+12,Dean Koontz
9.78067E+12,Wally Lamb
9.78077E+12,Adeline Yen Mah
9.78081E+12,Barbara Ehrenreich
9.78068E+12,Dorothy Dunnett
9.78055E+12,John LeCarre
9.78049E+12,Singer Media Corporation
9.78067E+12,Olivia Goldsmith
9.78081E+12,Emily Dickinson
9.7809E+12,Hazel Harrison
9.78002E+12,Joseph Girzone
9.78039E+12,Joseph F. Girzone
9.78068E+12,Lorraine Anderson
9.78084E+12,"Tim LaHaye,Jerry B. Jenkins"
9.78035E+12,Ad Hudler
9.78074E+12,Josephine Carlton
9.78038E+12,"Ted L. Nancy,Jerry Seinfeld"
9.78039E+12,Francis Wheen
9.78074E+12,Stephen King
9.78079E+12,"Ellen Rimbauer,Joyce Reardon,Steven Rimbauer"
9.78045E+12,Sidney Sheldon
9.78068E+12,"Christopher Moore,Pamela Johnson"
9.78074E+12,Mary Higgins Clark
9.78038E+12,Robert Lacey
9.78038E+12,Tim Dorsey
9.78039E+12,Jodi Compton
9.78044E+12,Elmore Leonard
9.78045E+12,Elmore Leonard
9.78062E+12,Lynn Coady
9.78087E+12,John Lawton
9.78003E+12,Eileen Yin-Fei Lo
9.78006E+12,Tilden Edwards
9.78006E+12,Barbara Kingsolver
9.78006E+12,Barbara Kingsolver
9.78006E+12,Vikram Seth
9.78006E+12,Isabel Allende
9.78006E+12,Tony Hillerman
9.78019E+12,"Elizabeth Gaskell,Elizabeth Porges Watson"
9.78031E+12,Anita Diamant
9.78038E+12,Lauren Haney
9.78039E+12,Gerald Stern
9.7804E+12,Lilian Jackson Braun
9.7804E+12,Patricia Cornwell
9.78045E+12,Maeve Binchy
9.78045E+12,Martha Grimes
9.78045E+12,Henry James
9.78049E+12,Sarah Orne Jewett
9.78049E+12,William Carlos Williams
9.78052E+12,Rh Value Publishing
9.78068E+12,Edith Wharton
9.78074E+12,Harry Kemelman
9.78081E+12,Mil Millington
9.78082E+12,"Suzanne G. Farnham,Joseph P. Gill,R. Taylor McLean"
9.78088E+12,Czeslaw Milosz
9.78156E+12,Margaret Guenther
9.78188E+12,"Roberto Juarroz,Mary Crow"
9.78049E+12,"Hans Kmoch,Barnie F. Winkelman"
9.78031E+12,"Emma Mclaughlin,Nicola Kraus"
9.78014E+12,Paul Jennings
9.78067E+12,Mark E. Neely Jr.
9.78003E+12,"Stephen J. Weininger,Frank R. Stermitz"
9.78031E+12,Larry Katzenstein
9.78035E+12,David Steinman
9.7804E+12,Alfie Kohn
9.78081E+12,Paula Polk Lillard
9.78082E+12,David Lewis
9.78068E+12,Billie Livingston
9.78031E+12,Adele Lang
9.78032E+12,Jen Banbury
9.78038E+12,Patricia Daniels Cornwell
9.78052E+12,Catherine Coulter
9.78055E+12,Dominick Dunne
9.78067E+12,Clive Cussler
9.78067E+12,Mary Higgins Clark
9.78156E+12,John Pascal
9.78043E+12,"Carl Hiaasen,Diane Stevenson"
9.78062E+12,Jonathan Safran Foer
9.78016E+12,Yann Martel
9.78038E+12,Francesca Marciano
9.78039E+12,Julia Glass
9.78045E+12,Tawni O'Dell
9.78074E+12,Jennifer Weiner
9.78039E+12,Danielle Steel
9.78097E+12,Leon Hale
9.78006E+12,Russell Banks
9.78049E+12,Samuel Taylor Coleridge
9.78079E+12,"BRADLEY P WARSHAUER,Bradley P. Warshauer"
9.78006E+12,Bobbie Ann Mason
9.78055E+12,Nora Roberts
9.78044E+12,Karen Robards
9.78031E+12,Emma Lathen
9.78043E+12,Dean Koontz
9.78038E+12,Faye Kellerman
9.78014E+12,Jacquelyn Mitchard
9.78037E+12,Nora Roberts
9.78045E+12,Jane Smiley
9.78055E+12,Diane Mott Davidson
9.7808E+12,Candace Bushnell
9.78052E+12,Nora Roberts
9.78035E+12,Kristin Hannah
9.78052E+12,Michael Marshall
9.78095E+12,Allen Widome
9.78039E+12,John Grisham
9.78039E+12,John Grisham
9.78031E+12,Wilbur Smith
9.78059E+12,"Mike Thaler,Jared Lee"
9.78039E+12,John Grisham
9.78045E+12,Michael Slade
9.78043E+12,"John Sandford,John Camp"
9.78055E+12,Tami Hoag
9.78055E+12,Tami Hoag
9.78074E+12,Mary Higgins Clark
9.78085E+12,Ted Dekker
9.78085E+12,Angela Hunt
9.78085E+12,Ted Dekker
9.78059E+12,C. S. Lewis
9.78002E+12,C. S Lewis
9.78055E+12,Will Eisner
9.78043E+12,Robin Cook
9.78067E+12,Ann Rule
9.78039E+12,E. Lynn Harris
9.78055E+12,Linda Goodman
9.78035E+12,Anne Rice
9.78035E+12,Anne Rice
9.78067E+12,Judith Rossner
9.78035E+12,Marilyn French
9.78031E+12,Wayne W. Dyer
9.78006E+12,Armistead Maupin
9.78081E+12,Julie Morgenstern
9.78068E+12,Peter Straub
9.78156E+12,"James Maybrick,Shirley Harrison"
9.78039E+12,Danielle Steel
9.78082E+12,Barbara Taylor Bradford
9.78082E+12,Lisa Jackson
9.78035E+12,Sharyn McCrumb
9.78055E+12,Kay Hooper
9.78074E+12,Mary Higgins Clark
9.78069E+12,Cokie Roberts
9.78044E+12,"Shana Corey,Mark Teague"
9.78059E+12,"Jesse S. Ostrow,Charles Shaw"
9.78031E+12,"Justine Korman,Bill Langley,Ron Dias,Walt Disney P"
9.78044E+12,Patricia Reilly Giff
9.78059E+12,Beverly Cleary
9.78044E+12,K.A. Applegate
9.78044E+12,"Jane Yolen,Mark Teague"
9.78031E+12,Golden Books
9.78059E+12,Marvin Miller
9.78031E+12,Craig Boldman
9.78082E+12,"H. G. Wells,Raymond James,Jim Deal"
9.78087E+12,Bobbie Kalman
9.78081E+12,Mercedes Lackey
9.78081E+12,Mercedes Lackey
9.78045E+12,Dorothy Gilman
9.78193E+12,MoveOn.org
9.78081E+12,Mercedes Lackey
9.78035E+12,Christopher Finch
9.7814E+12,Charles Frazier
9.78031E+12,Julia Spencer-Fleming
9.78031E+12,Julia Spencer-Fleming
9.78045E+12,Fannie Flagg
9.78059E+12,Laura Ingall Wilder
9.78068E+12,"Frank McCourt,Brooke Zimmer,John Fontana"
9.78055E+12,Lisa Gardner
9.78038E+12,"Beverly Cleary,Tracy Dockray"
9.78081E+12,Gertrude Chandler Warner
9.78031E+12,Julia Spencer-Fleming
9.78035E+12,Philip Pullman
9.78035E+12,Philip Pullman
9.78068E+12,Philip Pullman
9.78006E+12,Lynn S. Hightower
9.78035E+12,Sharyn McCrumb
9.78045E+12,Sharyn McCrumb
9.78045E+12,Dorothy Gilman
9.78006E+12,Eric Schlosser
9.7808E+12,Suzanne Brockmann
9.78006E+12,Gail Carson Levine
9.78006E+12,Gail Carson Levine
9.78077E+12,Frances Kuffel
9.78055E+12,Susan Conant
9.78039E+12,David Schickler
9.78044E+12,Maeve Binchy
9.78067E+12,Judith McNaught
9.78055E+12,Ray Bradbury
9.78006E+12,JANET EVANOVICH
9.78006E+12,Sylvia Plath
9.78052E+12,Ilona Koidahl
9.78068E+12,Richard North Patterson
9.78082E+12,Fern Michaels
9.78082E+12,Fern Michaels
9.78067E+12,Betsy Byars
9.78055E+12,Bruce Sterling
9.78045E+12,James Patterson
9.78045E+12,Sarah Ban Breathnach
9.78043E+12,Alice Hoffman
9.78006E+12,Lisa Scottoline
9.7804E+12,"Spencer Johnson,Kenneth Blanchard"
9.78097E+12,Ian McEwan
9.78006E+12,"David Feldman,Kas Schwan"
9.78006E+12,Richard Bausch
9.78031E+12,Katie Fforde
9.78032E+12,James Burke
9.78016E+12,Bliss Broyard
9.78039E+12,Sara Paretsky
9.78074E+12,Charles Webb
9.78062E+12,Elizabeth Benedict
9.78157E+12,Stanley Morison; Brooke Crutchley (editor); Mike P
9.78081E+12,Henry Miller
9.78157E+12,David Whyte
9.78079E+12,"Thomas Cummings,Warren Bennis,Gretchen M. Spreitze"
9.78043E+12,Martha Beck
9.78039E+12,Desmond Tutu
9.78045E+12,"Clayborne Carson,Kris Shepard,Andrew Young"
9.78014E+12,"Jack Kerouac,Ann Charters"
9.78068E+12,"Martin Buber,Walter Kaufmann"
9.78049E+12,"Niccolò Machiavelli,N. H. Thompson"
9.78006E+12,Paul Monette
9.78068E+12,Ernest Hemingway
9.78158E+12,Melody Carlson
9.78006E+12,Alisa Kwitney
9.78045E+12,Billie Letts
9.78014E+12,Melissa Bank
9.78081E+12,"Rena Kornreich Gelissen,Heather Dune Macadam"
9.78074E+12,Moon Unit Zappa
9.78035E+12,Ted Mooney
9.78006E+12,Susan Wiggs
9.78014E+12,Gwyn Hyman Rubio
9.78032E+12,Elisabeth Robinson
9.78193E+12,Audrey Niffenegger
9.78016E+12,Anita Shreve
9.78006E+12,Tim Farrington
9.78068E+12,Mark Salzman
9.78045E+12,Chaim Potok
9.78043E+12,Scott Spencer
9.78045E+12,Chaim Potok
9.78045E+12,Chaim Potok
9.78014E+12,V. S. Naipaul
9.78014E+12,V. S. Naipaul
9.78225E+12,"Jean Giono,Anne-Marie Marina-Médiavilla"
9.78225E+12,"Alain-Fournier,Daniel Leuwers"
9.78225E+12,"Erich Maria Remarque,Alzir Hella,Olivier Bournac"
9.78227E+12,Roy Lewis
9.78207E+12,René Barjavel
9.78227E+12,"Alexandra David-Néel,Alexandra David-Néel"
9.78225E+12,"Charles Baudelaire,Marie-Jeanne Durry,Yves Florenn"
9.78207E+12,"Ray Bradbury,Jacques Chambon,Henri Robillot"
9.78227E+12,Radiguet
9.78207E+12,"Emile Zola,Henri Mitterand"
9.78207E+12,"Jean Giono,Willi Glasauer"
9.78207E+12,Louis Pergaud
9.78229E+12,Collectif
9.78229E+12,Robert A. (Anson) Heinlein
9.78349E+12,Sten Nadolny
9.7835E+12,"Cheryl Benard,Edit Schlaffer"
9.78389E+12,Christa Wichterich
9.7835E+12,John Blofeld
9.78091E+12,Christine Obbo
9.7835E+12,Christa Wichterich
9.78375E+12,Peter B Heim
9.78014E+12,Jane Austen
9.7836E+12,Hera Lind
9.78344E+12,"Arundhati Roy,Anette Grube"
9.78039E+12,Dan Brown
9.78045E+12,Nicholas Sparks
9.78039E+12,Jane Hamilton
9.7804E+12,Jack Higgins
9.78067E+12,Helen Fielding
9.78069E+12,A. Manette Ansay
9.78032E+12,Anita Shreve
9.78045E+12,Max Allan Collins
9.78043E+12,Dave Barry
9.78015E+12,David Guterson
9.78039E+12,John Grisham
